title,category,doc_type,source_org,source_url,file_path,tags,downloaded_at,sha256,status,error
DL/T 5390-2007 火力发电厂和变电站照明设计技术规定,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20180905/show-278248-105-1.html,03_standards_specs/44_DL_T_5390-2007_火力发电厂和变电站照明设计技术规定_b12842c2.url.md,"照明设计,火力发电,变电站",2026-05-20T03:19:40.471908+00:00,370f9e1909aeff32223aacbceafbda91209c4fbdcc400416dadfff69dbc4ea1d,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5445-2010 电力工程施工组织设计规范,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20180905/show-278278-105-1.html,03_standards_specs/45_DL_T_5445-2010_电力工程施工组织设计规范_ca890bcb.url.md,"施工组织,电力工程,设计规范",2026-05-20T03:19:40.471908+00:00,d6f0469cb90561dc6d78855c0699ddf7b14a6ae4a031c9e89aea77c3f8d1bc95,failed_url_saved,HTTPError: HTTP Error 404: Not Found
DL/T 5072-2007 火力发电厂保温油漆设计规程,03_standards_specs,行业标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20180905/show-278168-105-1.html,03_standards_specs/46_DL_T_5072-2007_火力发电厂保温油漆设计规程_cf06390d.url.md,"保温油漆,火力发电,设计规程",2026-05-20T03:19:40.471908+00:00,a6cae6e1fcd4084df9f5b4e6a53f65503a4f60575f6774ea2a4a59fdb02d815c,failed_url_saved,HTTPError: HTTP Error 404: Not Found
Q/GDW 10370 配电网建设改造技术导则,03_standards_specs,国网标准网页,标准网标准分享,https://www.biaozhuns.com/archives/20170420/show-166775-105-1.html,03_standards_specs/47_Q_GDW_10370_配电网建设改造技术导则_53d589bb.md,"配电网,建设改造,技术导则",2026-05-20T03:19:40.471908+00:00,0d4311a643a53b68a06b3b6769d771be3442fd1dd760519c2f90ebd4222fb3fa,downloaded,
Q/GDW 10741 配电网施工工艺规范,03_standards_specs,国网标准网页,BIM吧分享,https://xycost.com/archives/502425,03_standards_specs/48_Q_GDW_10741_配电网施工工艺规范_6c94bfdf.md,"配电网,施工工艺,规范",2026-05-20T03:19:40.471908+00:00,132d9d14dba56a9b76e9a04f9454347eec112ed966ed9d420a78d3027add1ecc,downloaded,
power_grid_standards_catalog,03_standards_specs,自建话术模板,AI标书系统项目自建,,03_standards_specs/power_grid_standards_catalog.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,2e37baecc307bcbe34b443e730fb90f7479666188960a20e23837f3859f530fc,generated,
power_grid_section_library,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/power_grid_section_library.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,afdce08adae52731b7c0bc5488ce8fb786c640bc140668719d5a073e4d9c8a8d,generated,
qualification_response_phrases,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/qualification_response_phrases.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,443e18455d0705c4628ce7a7b2bdfc0287a54ab96c3b08c048841bf197daec69,generated,
business_response_phrases,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/business_response_phrases.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,92ffe2539f01b7b5e851f5c96072b912103e8e768022c5f7eb52010e7bfa739d,generated,
quality_safety_environment_phrases,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/quality_safety_environment_phrases.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,8c32852273f7bc7fa36dee38f81680dd6cdbe45d761303c87ade3a85366d208c,generated,
bid_document_checklist,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/bid_document_checklist.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,f063845c498d9008f3065805dcba497dcd566752787af2a677e420558e13ab43,generated,
power_grid_rag_ingestion_notes,04_standard_phrases,自建话术模板,AI标书系统项目自建,,04_standard_phrases/power_grid_rag_ingestion_notes.md,"国网投标,电力工程,RAG模板",2026-05-20T03:20:28.672986+00:00,9cbc8fcce38e6c186bd7ba9620dd52584a60775dce8ba2818322ee5cc6c7478f,generated,
